id,name,base_price,display_uom,average_weight
6999,Honeycrisp Apple,1.0,ea,0.4
8794,Organic Honeycrisp Apple,1.68,ea,0.42
77514,Organic Honeycrisp Apples Bag,5.99,ea,
44272,Gala Apple,0.69,ea,0.41
43550,Pink Lady Apple,0.68,ea,0.4
7055,Granny Smith Apple,0.84,ea,0.42
52442,Organic Gala Apples Bag,3.99,ea,
44293,Organic Fuji Apple,1.07,ea,0.43
44271,Fuji Apple,0.74,ea,0.44
43794,Organic Pink Lady Apples Bag,4.99,ea,
25364340,Organic Banana,0.28,ea,0.41
76014,Covilli Organic Sundowner Apples Bag,4.99,ea,
25305104,"Organic Raspberry Oranges Punnet, 4 Count",4.99,ea,
57242,Cosmic Crisp Apple,1.39,ea,0.7
8888,Organic Pink Lady Apple,0.92,ea,0.4
77048,SweeTango Apple,1.2,ea,0.4
77900,Organic Mandarins Bag,4.99,ea,
7065,Strawberries,4.99,ea,
44294,Organic Gala Apple,0.95,ea,0.38
81222,Organic Rockit Apples Tub,9.99,ea,
43549,Golden Delicious Apple,0.41,ea,0.41
81323,Organic SugarBee Apples Bag,5.99,ea,
51147,Mandarins Bag,5.99,ea,
7272,Blueberries,3.99,ea,
7099,Celery,1.99,ea,
8822,Organic Strawberries,6.99,ea,
7169,Blackberries,3.49,ea,
7008,Envy Apple,1.25,ea,0.5
7053,Banana,0.25,ea,0.43
6913,Red White Flesh Dragon Fruit,4.99,ea,
7087,Lemon,0.75,ea,
7013,Mini Watermelon,4.99,ea,
7082,Lime,0.5,ea,
7198,Pink Grapefruit,1.25,ea,
74887,Star Fruit,2.99,ea,
85129,Large Navel Orange,0.81,ea,0.65
7088,Raspberries,3.99,ea,
83823,"Stemilt World Famous Fruit Organic Granny Smith Apples Punnet, 4 Count",4.99,ea,
7047,Sumo Citrus Mandarins,2.79,ea,0.7
81813,Baby Carrots Bag,1.29,ea,
71579,Lemonade Apple,2.49,lb,
67637,Sumo Citrus Mandarins Bag,6.99,ea,
77564,Organic Large Hass Avocado,2.5,ea,
6946,Cara Cara Orange,1.0,ea,0.5
8851,Organic Cucumber,1.5,ea,
8808,Organic Navel Orange,0.8,ea,0.53
83825,"Stemilt World Famous Fruit Organic Fuji Apples Punnet, 4 Count",4.99,ea,
43910,Cotton Candy Grapes,4.99,lb,
7029,Sugarbee Apple,1.23,ea,0.41
7084,Cantaloupe,3.49,ea,
7085,Red Mango,2.0,ea,
84300,Organic Blueberries,6.99,ea,
82568,"Stemilt World Famous Fruit Organic Cosmic Crisp Apple Punnet, 4 Count",5.99,ea,
7207,Yellow Mango,1.25,ea,
30155,Pomegranate Arils,5.99,ea,
7239,Passion Fruit,2.99,ea,
52090,Jumbo Blueberries,6.99,ea,
52463,Mighties Organic Kiwis,3.99,ea,
7090,Black Seedless Grapes,7.82,ea,2.24
7080,Medium Hass Avocado,1.0,ea,
